GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,EMP,NESTAB,NRCPTOT
0100000US,,United States,2111,Oil and gas extraction,99,Total,2007,6260,255104849,9593816,150443,82772,7371161
0100000US,,United States,2121,Coal mining,99,Total,2007,1034,34261466,4767887,77435,1215,75374
0100000US,,United States,2122,Metal ore mining,99,Total,2007,250,23667448,2355259,35004,913,41225
0100000US,,United States,2123,Nonmetallic mineral mining and quarrying,99,Total,2007,5188,27926338,4500542,98938,4242,386719
0100000US,,United States,2131,Support activities for mining,99,Total,2007,9935,72564630,19469968,368613,12465,1137741
0100000US,,United States,2211,"Electric power generation, transmission and distribution",99,Total,2007,9554,445693484,43618314,511487,N,N
0100000US,,United States,2212,Natural gas distribution,99,Total,2007,2377,128555017,6037623,83369,N,N
0100000US,,United States,2213,"Water, sewage and other systems",99,Total,2007,4647,9944157,1997681,42391,N,N
0100000US,,United States,3111,Animal food manufacturing,99,Total,2007,1767,39173885,1976192,46227,1407,73129
0100000US,,United States,3112,Grain and oilseed milling,99,Total,2007,790,69754889,2727918,53290,359,29517
0100000US,,United States,3113,Sugar and confectionery product manufacturing,99,Total,2007,1841,27278079,2774270,69403,2070,53249
0100000US,,United States,3114,Fruit and vegetable preserving and specialty food manufacturing,99,Total,2007,1610,60704784,6089456,172034,2707,114143
0100000US,,United States,3115,Dairy product manufacturing,99,Total,2007,1584,91583690,5700094,131375,1105,58192
0100000US,,United States,3116,Animal slaughtering and processing,99,Total,2007,3773,160062535,14694437,503590,2364,95682
0100000US,,United States,3117,Seafood product preparation and packaging,99,Total,2007,652,11072868,1161165,38968,1303,88230
0100000US,,United States,3118,Bakeries and tortilla manufacturing,99,Total,2007,10312,55486846,8917212,283899,10432,382527
0100000US,,United States,3119,Other food manufacturing,99,Total,2007,3287,74608038,6347178,165452,8296,322719
0100000US,,United States,3121,Beverage manufacturing,99,Total,2007,3717,87919826,6197909,134480,N,N
0100000US,,United States,3122,Tobacco manufacturing,99,Total,2007,102,40210981,1172598,19322,N,N
0100000US,,United States,3131,"Fiber, yarn, and thread mills",99,Total,2007,423,9319116,1176588,40994,N,N
0100000US,,United States,3132,Fabric mills,99,Total,2007,1277,17599987,2640155,73451,N,N
